18th Military Circle,ASSESSMENT,Agricultural Economic Office
18th Military Circle,ASSESSMENT,Armed Forces Headquarters
18th Military Circle,ASSESSMENT,Ayutthaya's Rama VI dam
18th Military Circle,ASSESSMENT,Chao Phraya Dam Authority
18th Military Circle,ASSESSMENT,Community Leader
18th Military Circle,ASSESSMENT,Department of Agricultural Extension
18th Military Circle,ASSESSMENT,Department of Disaster Prevention and Mitigation
18th Military Circle,ASSESSMENT,Department of Disease Control
18th Military Circle,ASSESSMENT,Disaster Prevention and Mitigation Department
18th Military Circle,ASSESSMENT,Disaster Prevention and Mitigation Office
18th Military Circle,ASSESSMENT,Emergency Medical Institute of Thailand
18th Military Circle,ASSESSMENT,Farmer
18th Military Circle,ASSESSMENT,Federation of Thai Industry
18th Military Circle,ASSESSMENT,Foresight Center for Agriculture
18th Military Circle,ASSESSMENT,Her Majesty Queen Sirikit
18th Military Circle,ASSESSMENT,Hi-Tech Industrial Estate
18th Military Circle,ASSESSMENT,His Majesty the King
18th Military Circle,ASSESSMENT,Honda Automobile (Thailand)
18th Military Circle,ASSESSMENT,Hydro and Agro Informatics Institute
18th Military Circle,ASSESSMENT,Industrial Estate Authority
18th Military Circle,ASSESSMENT,Kasetsart University
18th Military Circle,ASSESSMENT,Local Administration
18th Military Circle,ASSESSMENT,Local Authorities
18th Military Circle,ASSESSMENT,Local Hospital
18th Military Circle,ASSESSMENT,Local Hospitals
18th Military Circle,ASSESSMENT,Local Leader
18th Military Circle,ASSESSMENT,Local Military
18th Military Circle,ASSESSMENT,Local Police
18th Military Circle,ASSESSMENT,Meteorological Department
18th Military Circle,ASSESSMENT,Ministry of Agriculture and Cooperative
18th Military Circle,ASSESSMENT,Ministry of Agriculture and Cooperatives
18th Military Circle,ASSESSMENT,Ministry of Culture
18th Military Circle,ASSESSMENT,Ministry of Defence
18th Military Circle,ASSESSMENT,Ministry of Defense
18th Military Circle,ASSESSMENT,Ministry of Finance
18th Military Circle,ASSESSMENT,Ministry of Industry
18th Military Circle,ASSESSMENT,Ministry of Interior
18th Military Circle,ASSESSMENT,Ministry of Natural Resources and Environment
18th Military Circle,ASSESSMENT,Ministry of Public Health
18th Military Circle,ASSESSMENT,Ministry of Science and Technology
18th Military Circle,ASSESSMENT,Ministry of Tourism and Sports
18th Military Circle,ASSESSMENT,National Defence College
18th Military Circle,ASSESSMENT,National Disaster Warning Center
18th Military Circle,ASSESSMENT,Office of the Prime Minister
18th Military Circle,ASSESSMENT,Political Party
18th Military Circle,ASSESSMENT,Princess Chulabhorn Satellite Receiving Station
18th Military Circle,ASSESSMENT,Provincial Administration
18th Military Circle,ASSESSMENT,Provincial Police
